id,root_length,pattern_label,pattern_code,augment_count,pattern_type
pat_0001,3,mujarrad_fa3ala,4.3.111.0.2,0,mujarrad
pat_0002,3,af3ala,4.3.211.1.3,1,mazid_1
pat_0003,3,fa33ala,4.3.1sh1.1.3,1,mazid_1
pat_0004,3,faa3ala,4.3.131.1.3,1,mazid_1
pat_0005,3,tafa33ala,4.3.t1sh1.2.4,2,mazid_2
pat_0006,3,tafaa3ala,4.3.t131.2.4,2,mazid_2
pat_0007,3,infa3ala,4.3.in111.2.4,2,mazid_2
pat_0008,3,ifta3ala,4.3.ifta111.2.4,2,mazid_2
pat_0009,3,istaf3ala,4.3.ist111.3.5,3,mazid_3
pat_0010,3,jamid_trilateral,4.3.121.0.1,0,jamid
pat_0011,4,jamid_quadrilateral,4.4.1221.0.1,0,jamid
pat_0012,5,jamid_pentaliteral,4.5.12221.0.1,0,jamid
pat_0013,6,closed_built_form,4.6.closed.9.7,9,built_closed
pat_0014,6,closed_relation_marker,4.6.closed.9.8,9,connector_closed
